job_title,company_name,location,job_type,job_location_type,experence_level,experence_years,job_category,skills_required
"Data Availability officer ""Saudis only""",Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 10 Yrs of Exp, Administration,business - Communication skills - Data Analysis - Data Entry - Data Management - Project Management - Data
"Data Management Specialist ""Saudi Arabian only""",Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 10 Yrs of Exp, IT/Software Development,business - Communication - Administration - Microsoft Office - Communication skills - Management - Data Management
Sales Specialistl,Confidential ,"Riyadh, Saudi Arabia",Part Time,On-site,Experienced,1 - 7 Yrs of Exp, Sales/Retail,Sales Field - Sales
Environmental Engineer,Confidential ,"Jeddah, Saudi Arabia",Full Time,Remote,Experienced,5+ Yrs of Exp, Engineering - Other,Environmental - Environmental Engineering - Engineering - Environmental Science - Science
Senior Merchant Acquisition,waffarha.com ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 5 Yrs of Exp, Business Development,E-Commerce - Retail - Communication - Business Development - Negotiation - Research Analysis - Time Management - Sales
Sales Representative Sports & Nutritional Supplements,Elite Fancy Food ,"Jeddah, Saudi Arabia",Full Time,On-site,Entry Level,1 - 4 Yrs of Exp, Sales/Retail,Communication - Nutrition - Nutrition Sales - sales skills - Sales - Skills - Sports
Telesales Representative,Confidential ,"Dammam, Saudi Arabia",Full Time,Remote,Entry Level,1 - 5 Yrs of Exp, Customer Service/Support,Communication - CRM Software - Sales - Telesales - computer - negotiation skills - Customer Service - CRM
Automation Tester,Beetleware ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,2+ Yrs of Exp, IT/Software Development,Katalon Studio - Tester - Software Testing - Computer Science - Agile - Automation - Information Technology (IT) - Java - Quality Control
HR Manager,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Manager,10 - 15 Yrs of Exp, Human Resources,Talent acquisition - HR Policies - Administration - Business Administration - HR - Human Resources (HR) - Microsoft Office - Personnel - Recruitment
Cost and Tendering Director- KSA,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Senior Management,15 - 20 Yrs of Exp, Engineering - Construction/Civil/Architecture,Tendering - Costing - Construction - Cost Engineering
Licensed Dermatology and Aesthetic Specialist (Female),Alkhaleej Medical Center ,"Riyadh, Saudi Arabia",Full Time,On-site,Entry Level,4 - 20 Yrs of Exp, Medical/Healthcare,sales skills - Dermatology
Oracle Fusion Consultant,Stage systems ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5+ Yrs of Exp, IT/Software Development,Communication skills - Computer Science - Fusion - ERP - Implementations - Information Technology (IT) - Oracle - Oracle Fusion
Sales Representative,bloor ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 10 Yrs of Exp, Sales/Retail,Customer Service - Sales - business - Communication - Communication skills - Experience - Negotiation - sales skills - Sales Target
Technical Office Engineer,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 10 Yrs of Exp, Engineering - Construction/Civil/Architecture,Engineering - Technical Office
Value Engineer,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 5 Yrs of Exp, Engineering - Construction/Civil/Architecture,Civil Engineering - Project Management - Cost Control - Engineering - Primavera - Software - Construction
Senior Architectural Engineer,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,8 - 10 Yrs of Exp, Engineering - Construction/Civil/Architecture,Construction - AutoCAD - Revit - Architectural Engineering - Design - Architecture
Software Engineer,Tafeel ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,2 - 5 Yrs of Exp, IT/Software Development,Software Development - Quality Assurance - Information Technology (IT) - ISTQB - Software Testing - Computer Science - Testing
Planning Engineer,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 5 Yrs of Exp, Engineering - Construction/Civil/Architecture,Civil Engineering - Project Management - Cost Control - Engineering - Primavera - Software - Construction
Projects Architect Manager,Confidential ,"Riyadh, Saudi Arabia",Full Time,On-site,Manager,5+ Yrs of Exp, Engineering - Construction/Civil/Architecture,Project Management - Cost Control - Engineering - Primavera - Software - Construction - PMP - Planning
Administrative Assistant,Creamcar ,"Jeddah, Saudi Arabia",Full Time,Hybrid,Experienced,1 - 4 Yrs of Exp, Administration,Administration - business - Business Administration - Communication - Microsoft Office - office - Office management - Microsoft Excel - excel
